period_begin_month,period_begin_year,period_begin_month_year,state,state_code,covid_month_year_state,cases,deaths
1,2020,1-2020,California,CA,1-2020CA,14,0
1,2020,1-2020,Washington,WA,1-2020WA,11,0
1,2021,1-2021,California,CA,1-2021CA,90326882,1029821
1,2021,1-2021,Florida,FL,1-2021FL,47886474,743799
1,2021,1-2021,Minnesota,MN,1-2021MN,13726005,182964
1,2021,1-2021,Texas,TX,1-2021TX,64851664,1008216
1,2021,1-2021,Washington,WA,1-2021WA,8942940,122774
10,2020,10-2020,California,CA,10-2020CA,27164081,522654
10,2020,10-2020,Florida,FL,10-2020FL,23278677,486884
10,2020,10-2020,Minnesota,MN,10-2020MN,3740804,70493
10,2020,10-2020,Texas,TX,10-2020TX,26765048,539095
10,2020,10-2020,Washington,WA,10-2020WA,3148094,72562
10,2021,10-2021,California,CA,10-2021CA,149780636,2194685
10,2021,10-2021,Florida,FL,10-2021FL,112172251,1786479
10,2021,10-2021,Minnesota,MN,10-2021MN,23361307,264514
10,2021,10-2021,Texas,TX,10-2021TX,129005660,2139220
10,2021,10-2021,Washington,WA,10-2021WA,21615832,256551
11,2020,11-2020,California,CA,11-2020CA,31809852,551791
11,2020,11-2020,Florida,FL,11-2020FL,26828632,528358
11,2020,11-2020,Minnesota,MN,11-2020MN,6851262,90661
11,2020,11-2020,Texas,TX,11-2020TX,33104736,607190
11,2020,11-2020,Washington,WA,11-2020WA,4172887,80071
11,2021,11-2021,California,CA,11-2021CA,150387806,2204627
11,2021,11-2021,Florida,FL,11-2021FL,110150351,1821188
11,2021,11-2021,Minnesota,MN,11-2021MN,25599183,275284
11,2021,11-2021,Texas,TX,11-2021TX,128452440,2192557
11,2021,11-2021,Washington,WA,11-2021WA,22691632,271319
12,2020,12-2020,California,CA,12-2020CA,53961030,683920
12,2020,12-2020,Florida,FL,12-2020FL,35950671,625248
12,2020,12-2020,Minnesota,MN,12-2020MN,11794182,142668
12,2020,12-2020,Texas,TX,12-2020TX,47212101,779112
12,2020,12-2020,Washington,WA,12-2020WA,6674793,98238
12,2021,12-2021,California,CA,12-2021CA,161865579,2348622
12,2021,12-2021,Florida,FL,12-2021FL,117512214,1925137
12,2021,12-2021,Minnesota,MN,12-2021MN,30107200,314766
12,2021,12-2021,Texas,TX,12-2021TX,137077105,2330370
12,2021,12-2021,Washington,WA,12-2021WA,24982199,300045
2,2020,2-2020,California,CA,2-2020CA,285,0
2,2020,2-2020,Texas,TX,2-2020TX,91,0
2,2020,2-2020,Washington,WA,2-2020WA,60,1
2,2021,2-2021,California,CA,2-2021CA,97356780,1317354
2,2021,2-2021,Florida,FL,2-2021FL,51110061,808567
