period_begin_month,period_begin_year,period_begin_month_year,state,state_code,housing_month_year_state,homes_sold,pending_sales,new_listings,inventory,months_of_supply,sold_above_list,price_drops
1,2020,1-2020,California,CA,1-2020CA,43730,37236,59735,117383,459.0000000000001,39.45587389100001,28.325421181000003
1,2020,1-2020,Florida,FL,1-2020FL,50212,45153,93867,249081,1203.4000000000008,20.296826111999998,33.91677791499999
1,2020,1-2020,Minnesota,MN,1-2020MN,7912,6372,9263,23367,1034.2999999999997,29.86768636499999,24.239469926999988
1,2020,1-2020,Texas,TX,1-2020TX,34846,32732,57370,147998,2213.5999999999995,34.81119948400001,46.34009596800001
1,2020,1-2020,Washington,WA,1-2020WA,12810,12124,14723,20983,373.1,22.953821318000006,14.455445347999998
1,2021,1-2021,California,CA,1-2021CA,51762,48975,59713,84286,317.19999999999993,63.52292931099999,26.302670224000007
1,2021,1-2021,Florida,FL,1-2021FL,60986,63016,82126,166756,894.7999999999998,27.702342015000003,25.477881628000002
1,2021,1-2021,Minnesota,MN,1-2021MN,9242,7883,9022,13647,453.3,52.13134886099999,27.377402668
1,2021,1-2021,Texas,TX,1-2021TX,40646,43051,53174,86967,1944.8,55.892962547,40.22173409600002
1,2021,1-2021,Washington,WA,1-2021WA,14292,14655,15888,11591,186.29999999999995,41.013535151,15.384902236000006
10,2020,10-2020,California,CA,10-2020CA,75527,71354,83757,124065,390.8000000000001,66.467838752,36.273465837
10,2020,10-2020,Florida,FL,10-2020FL,79958,64185,87539,199303,797.3000000000001,27.45205054899999,30.374685907000003
10,2020,10-2020,Minnesota,MN,10-2020MN,19462,16034,16179,23583,442.5999999999999,68.76816177600001,47.048092421999996
10,2020,10-2020,Texas,TX,10-2020TX,61198,52970,62262,116231,1909.4000000000012,44.664757824000006,49.411517267
10,2020,10-2020,Washington,WA,10-2020WA,26464,22875,23711,22019,172.30000000000007,43.56813682900002,26.337578444000002
10,2021,10-2021,California,CA,10-2021CA,71118,69591,70354,95980,323.80000000000007,93.64305973799999,42.60742735700002
10,2021,10-2021,Florida,FL,10-2021FL,75983,74366,82977,134332,477.5000000000003,57.949794747,41.484285552000024
10,2021,10-2021,Minnesota,MN,10-2021MN,16542,14585,14324,20786,352.4000000000001,78.22868810399999,59.25454961500002
10,2021,10-2021,Texas,TX,10-2021TX,56814,56344,61107,97748,1350.6999999999987,100.43050049099998,79.719173459
10,2021,10-2021,Washington,WA,10-2021WA,23991,22725,21119,17332,157,48.57625191300002,36.28248863199999
11,2020,11-2020,California,CA,11-2020CA,67498,72210,68265,108761,353.4,67.69229098699999,32.266486553
11,2020,11-2020,Florida,FL,11-2020FL,71810,57170,72334,191532,1008.9000000000001,28.52607694700001,28.115658382
11,2020,11-2020,Minnesota,MN,11-2020MN,15376,11558,9301,19085,487.6000000000005,62.84431492299999,37.06369473900001
11,2020,11-2020,Texas,TX,11-2020TX,53508,46004,48600,105326,2072.6000000000017,50.217806316999976,42.41384372799999
11,2020,11-2020,Washington,WA,11-2020WA,21570,17558,14691,16760,203.10000000000002,39.23764320099999,21.410205474
11,2021,11-2021,California,CA,11-2021CA,67874,63090,51932,75811,272.2999999999999,87.58295388100005,39.00294814500001
11,2021,11-2021,Florida,FL,11-2021FL,75318,69298,71782,122443,444.49999999999983,58.75431245899998,41.22643101899998
11,2021,11-2021,Minnesota,MN,11-2021MN,14850,12119,9370,16008,365.20000000000005,73.86207825400001,44.42097577300001
11,2021,11-2021,Texas,TX,11-2021TX,54182,54409,51946,84638,1170.8999999999996,99.52487800799997,68.78615742999997
11,2021,11-2021,Washington,WA,11-2021WA,22002,18466,15029,12238,146.89999999999995,47.50478252500001,32.790121973
12,2020,12-2020,California,CA,12-2020CA,72820,55029,45407,86092,266.2000000000001,65.68031908100002,26.558606452999992
12,2020,12-2020,Florida,FL,12-2020FL,83896,56806,65120,175118,679.7,28.471834274999996,24.583672359999987
12,2020,12-2020,Minnesota,MN,12-2020MN,14038,8890,7091,14841,405.69999999999993,52.00583827600003,31.448315525999988
12,2020,12-2020,Texas,TX,12-2020TX,61548,42562,42753,91782,1861.999999999999,44.647750773999974,34.46968980499999
12,2020,12-2020,Washington,WA,12-2020WA,21788,14137,12416,12615,160.20000000000005,42.825490355000014,18.370238573999995
12,2021,12-2021,California,CA,12-2021CA,65553,50406,35512,50838,200.10000000000005,84.05492421199996,29.483007518
12,2021,12-2021,Florida,FL,12-2021FL,81515,62677,59782,103532,340.3999999999999,57.97686108999998,34.14679990899999
12,2021,12-2021,Minnesota,MN,12-2021MN,13455,7792,5731,11761,360.6000000000002,69.529385215,36.33444610600001
12,2021,12-2021,Texas,TX,12-2021TX,58620,47317,41536,68015,911.6000000000005,100.08553248700004,55.745194353999985
12,2021,12-2021,Washington,WA,12-2021WA,19448,12819,10518,8183,126.59999999999997,44.662246435,23.642503197999986
2,2020,2-2020,California,CA,2-2020CA,44988,43687,67473,124555,508.0000000000002,43.33061480400002,27.218607424999995
2,2020,2-2020,Florida,FL,2-2020FL,56781,48525,84222,254018,1077.4,19.942199625999997,32.460570401000005
2,2020,2-2020,Minnesota,MN,2-2020MN,7992,8224,12589,24218,1156.6,32.84349651599999,23.451864897999997
2,2020,2-2020,Texas,TX,2-2020TX,41708,37417,61883,151265,2249.7999999999984,27.16660643600001,42.716935526999976
2,2020,2-2020,Washington,WA,2-2020WA,13613,14197,18137,21606,465.20000000000005,30.722116401999994,12.676819346
2,2021,2-2021,California,CA,2-2021CA,51084,53718,66056,85926,414.59999999999985,77.73971149500004,24.386244029000004
2,2021,2-2021,Florida,FL,2-2021FL,70300,68825,82172,153693,590.6999999999998,32.63375633200001,24.889387286
2,2021,2-2021,Minnesota,MN,2-2021MN,8596,9544,11426,13417,500.1000000000001,54.155545891,33.39301367399998
2,2021,2-2021,Texas,TX,2-2021TX,40516,41830,46014,80875,1938.8999999999994,69.60912938599998,28.068408826999992
