,period_begin_month,period_begin_year,period_begin_month_year,covid_month_year_state,state,cases,deaths
0,1.0,2020.0,1-2020,1-2020CA,CA,0.0,0.0
1,2.0,2020.0,2-2020,2-2020CA,CA,34.0,0.0
2,3.0,2020.0,3-2020,3-2020CA,CA,6898.0,150.0
3,4.0,2020.0,4-2020,4-2020CA,CA,41985.0,1740.0
4,5.0,2020.0,5-2020,5-2020CA,CA,61666.0,2153.0
5,6.0,2020.0,6-2020,6-2020CA,CA,112334.0,1834.0
6,7.0,2020.0,7-2020,7-2020CA,CA,270671.0,3062.0
7,8.0,2020.0,8-2020,8-2020CA,CA,210497.0,3818.0
8,9.0,2020.0,9-2020,9-2020CA,CA,106540.0,2900.0
9,10.0,2020.0,10-2020,10-2020CA,CA,111380.0,1948.0
10,11.0,2020.0,11-2020,11-2020CA,CA,290963.0,1615.0
11,12.0,2020.0,12-2020,12-2020CA,CA,1018584.0,6154.0
12,1.0,2021.0,1-2021,1-2021CA,CA,1011796.0,14539.0
13,2.0,2021.0,2-2021,2-2021CA,CA,232214.0,11881.0
14,3.0,2021.0,3-2021,3-2021CA,CA,92864.0,6142.0
15,4.0,2021.0,4-2021,4-2021CA,CA,69706.0,2531.0
16,5.0,2021.0,5-2021,5-2021CA,CA,46900.0,1544.0
17,6.0,2021.0,6-2021,6-2021CA,CA,25422.0,1012.0
18,7.0,2021.0,7-2021,7-2021CA,CA,147322.0,912.0
19,8.0,2021.0,8-2021,8-2021CA,CA,421145.0,1352.0
20,9.0,2021.0,9-2021,9-2021CA,CA,316753.0,3383.0
21,10.0,2021.0,10-2021,10-2021CA,CA,187013.0,2849.0
22,11.0,2021.0,11-2021,11-2021CA,CA,181585.0,2193.0
23,12.0,2021.0,12-2021,12-2021CA,CA,444848.0,2135.0
24,1.0,2020.0,1-2020,1-2020FL,FL,,
25,2.0,2020.0,2-2020,2-2020FL,FL,,
26,3.0,2020.0,3-2020,3-2020FL,FL,6512.0,180.0
27,4.0,2020.0,4-2020,4-2020FL,FL,26966.0,1281.0
28,5.0,2020.0,5-2020,5-2020FL,FL,21662.0,1187.0
29,6.0,2020.0,6-2020,6-2020FL,FL,101024.0,1139.0
30,7.0,2020.0,7-2020,7-2020FL,FL,314998.0,5201.0
31,8.0,2020.0,8-2020,8-2020FL,FL,151859.0,5252.0
32,9.0,2020.0,9-2020,9-2020FL,FL,85015.0,2330.0
33,10.0,2020.0,10-2020,10-2020FL,FL,114634.0,1609.0
34,11.0,2020.0,11-2020,11-2020FL,FL,238299.0,2084.0
35,12.0,2020.0,12-2020,12-2020FL,FL,419924.0,3754.0
36,1.0,2021.0,1-2021,1-2021FL,FL,480115.0,5933.0
37,2.0,2021.0,2-2021,2-2021FL,FL,231873.0,3675.0
38,3.0,2021.0,3-2021,3-2021FL,FL,194967.0,2076.0
39,4.0,2021.0,4-2021,4-2021FL,FL,220263.0,1694.0
40,5.0,2021.0,5-2021,5-2021FL,FL,112968.0,1529.0
41,6.0,2021.0,6-2021,6-2021FL,FL,66755.0,973.0
42,7.0,2021.0,7-2021,7-2021FL,FL,361714.0,2252.0
43,8.0,2021.0,8-2021,8-2021FL,FL,806169.0,11134.0
44,9.0,2021.0,9-2021,9-2021FL,FL,395994.0,9031.0
45,10.0,2021.0,10-2021,10-2021FL,FL,102266.0,2859.0
